employee_id,full_name,email,expected_email,last_name,salary,bonus,join_date,exit_date,department,status
201,John Doe,john.doe@company.com,john.doe@company.com,Doe,52000,5200,2022-01-10,2023-01-10,Sales,Active
202,Jane Smith,jane.smith@company.com,jane.smith@company.com,Smith,48000,4800,2022-02-15,2023-02-15,HR,Active
203,Bob Johnson,bob.johnson@company.com,bob.johnson@company.com,Johnson,55000,5500,2021-03-01,2022-03-01,IT,Inactive
204,Alice Brown,alice.brown@company.com,alice.brown@company.com,Brown,60000,6000,2021-04-05,2022-04-05,Finance,Active
205,Charlie Wilson,charlie.wilson@company.com,charlie.wilson@company.com,Wilson,75000,7500,2020-05-10,2021-05-10,Sales,Active
206,David Lee,david.lee@company.com,david.lee@company.com,Lee,47000,4700,2022-06-12,2023-06-12,IT,Active
207,Emma Davis,emma.davis@company.com,emma.davis@company.com,Davis,68000,6800,2021-07-20,2022-07-20,HR,Active
208,Frank Miller,frank.miller@company.com,frank.miller@company.com,Miller,82000,8200,2020-08-25,2021-08-25,Finance,Active
209,Grace Taylor,grace.taylor@company.com,grace.taylor@company.com,Taylor,59000,5900,2022-09-01,2023-09-01,Sales,Active
210,Henry Anderson,henry.anderson@company.com,henry.anderson@company.com,Anderson,91000,9100,2019-10-10,2020-10-10,IT,Inactive
211,Ivy Thomas,ivy.thomas@company.com,ivy.thomas@company.com,Thomas,43000,4300,2023-01-05,2024-01-05,HR,Active
212,Jack White,jack.white@company.com,jack.white@company.com,White,67000,6700,2021-02-14,2022-02-14,Sales,Active
213,Karen Harris,karen.harris@company.com,karen.harris@company.com,Harris,72000,7200,2020-03-18,2021-03-18,Finance,Active
214,Liam Martin,liam.martin@company.com,liam.martin@company.com,Martin,88000,8800,2019-04-22,2020-04-22,IT,Active
215,Mia Thompson,mia.thompson@company.com,mia.thompson@company.com,Thompson,64000,6400,2021-05-30,2022-05-30,HR,Active
216,Noah Garcia,noah.garcia@company.com,noah.garcia@company.com,Garcia,53000,5300,2022-06-01,2023-06-01,Sales,Active
217,Olivia Martinez,olivia.martinez@company.com,olivia.martinez@company.com,Martinez,77000,7700,2020-07-15,2021-07-15,Finance,Active
218,Paul Robinson,paul.robinson@company.com,paul.robinson@company.com,Robinson,86000,8600,2019-08-19,2020-08-19,IT,Active
219,Quinn Clark,quinn.clark@company.com,quinn.clark@company.com,Clark,49000,4900,2023-09-10,2024-09-10,HR,Active
220,Rachel Lewis,rachel.lewis@company.com,rachel.lewis@company.com,Lewis,71000,7100,2021-10-25,2022-10-25,Sales,Active
