transaction_id,account_number,customer_name,email,transaction_date,amount,currency,balance,status,remarks
1,55618,Customer 1,user1@test.org,2023-11-11,332.67,EUR,5060.23, CLOSED,Processed
2,83123,Customer 2,user2@mail.com,2023-12-16,4792.15,INR,4806.17,ACTIVE,Processed
3,00097431,Customer 3,user3@mail.com,2024-08-08,$1261.58,USD,2921.37,active,Processed
4,75877, Customer 4 ,user4@test.org,17/03/2025,1736.62,USD,5271.37,ACTIVE,Processed
5,69998,Customer 5,user5mail.com,2025-02-02,2622.2,USD,2638.43,active,Processed
6,00094985,Customer 6,user6@test.org,2024-11-22,$1121.54,INR,3800.37, CLOSED, OK 
7,90875,Customer 7,user7@test.org,2024-12-06,4356.05,USD,6980.91,active,Processed
8,76164, Customer 8 ,user8@example.com,11/03/2024,3897.3,USD,9582.49, CLOSED,Processed
9,00038502,Customer 9,user9@example.com,2024-01-12,$4350.97,USD,6261.28,ACTIVE,Processed
10,89433,Customer 10,user10example.com,2023-09-17,387.31,EUR,8722.84,ACTIVE,Processed
11,55098,Customer 11,user11@test.org,2024-03-07,2936.37,INR,3974.23,active,Processed
12,00012426, Customer 12 ,user12@test.org,02/01/2024,$2138.17,INR,4018.19,PENDING , OK 
13,36525,Customer 13,user13@test.org,2025-09-07,4249.09,EUR,5789.03, CLOSED,Processed
14,69363,Customer 14,user14@example.com,2025-01-20,2307.47,INR,1362.36,active,Processed
15,00031013,Customer 15,user15test.org,2023-08-07,$2948.34,INR,2961.77,ACTIVE,Processed
16,42166, Customer 16 ,user16@test.org,07/08/2025,819.96,USD,6835.59,ACTIVE,Processed
17,69571,Customer 17,user17@example.com,2024-04-29,648.38,INR,1955.09,ACTIVE,Processed
18,00089266,Customer 18,user18@test.org,2023-11-19,$893.27,EUR,7987.85,PENDING , OK 
19,99523,Customer 19,user19@test.org,2025-09-19,3390.12,EUR,4870.13,active,Processed
20,13801, Customer 20 ,user20test.org,22/02/2024,4957.88,EUR,1850.59, CLOSED,Processed
21,00091080,Customer 21,user21@test.org,2024-08-20,$386.29,USD,3887.54,ACTIVE,Processed
22,83829,Customer 22,user22@mail.com,2023-07-15,2640.15,EUR,7035.85,active,Processed
23,84316,Customer 23,user23@mail.com,2025-02-06,598.87,USD,6651.02,ACTIVE,Processed
24,00097589, Customer 24 ,user24@example.com,21/11/2023,$4239.38,USD,8605.17,ACTIVE, OK 
25,67645,Customer 25,user25example.com,2023-09-02,402.24,USD,2243.42,PENDING ,Processed
26,97268,Customer 26,user26@test.org,2024-05-07,3988.42,USD,5204.89, CLOSED,Processed
27,00044336,Customer 27,user27@test.org,2024-09-19,$441.66,EUR,9074.97,active,Processed
28,95439, Customer 28 ,user28@example.com,26/08/2023,4235.24,INR,3077.14, CLOSED,Processed
29,94823,Customer 29,user29@example.com,2025-11-25,4040.54,USD,2204.34,active,Processed
30,00027501,Customer 30,user30test.org,2025-11-30,$810.26,USD,6476.73,PENDING , OK 
31,10530,Customer 31,user31@example.com,2025-06-02,1908.64,INR,3929.62,ACTIVE,Processed
32,41373, Customer 32 ,user32@test.org,07/12/2024,1907.76,USD,1857.69,PENDING ,Processed
33,00088257,Customer 33,user33@test.org,2025-10-04,$512.02,INR,7903.24,active,Processed
34,69345,Customer 34,user34@mail.com,2024-03-01,677.57,EUR,6293.14,active,Processed
35,35370,Customer 35,user35test.org,2025-04-29,2958.83,INR,9012.85,PENDING ,Processed
36,00020057, Customer 36 ,user36@mail.com,24/10/2023,$1013.93,EUR,1086.66, CLOSED, OK 
37,39524,Customer 37,user37@example.com,2025-04-19,4945.05,INR,5359.46,active,Processed
38,95424,Customer 38,user38@test.org,2024-04-23,4265.28,INR,7262.29,active,Processed
39,00050197,Customer 39,user39@test.org,2025-07-10,$1739.93,INR,9759.75, CLOSED,Processed
40,49864, Customer 40 ,user40mail.com,24/01/2024,4203.83,EUR,8301.34,active,Processed
41,49301,Customer 41,user41@test.org,2024-09-17,1066.78,INR,9749.83,PENDING ,Processed
42,00015662,Customer 42,user42@test.org,2025-04-04,$3140.02,INR,7347.03,PENDING , OK 
43,39321,Customer 43,user43@mail.com,2025-04-22,1541.15,USD,7773.58,active,Processed
44,14814, Customer 44 ,user44@test.org,08/11/2025,3356.06,EUR,9932.01,PENDING ,Processed
45,00024815,Customer 45,user45example.com,2023-08-16,$1353.79,EUR,6082.17,ACTIVE,Processed
46,81897,Customer 46,user46@mail.com,2025-07-17,1257.13,EUR,1970.28, CLOSED,Processed
47,29620,Customer 47,user47@mail.com,2025-06-11,4154.25,USD,1598.65, CLOSED,Processed
48,00088201, Customer 48 ,user48@mail.com,23/05/2024,$1829.21,EUR,3433.83,ACTIVE, OK 
49,27501,Customer 49,user49@test.org,2025-09-06,846.68,EUR,8785.86, CLOSED,Processed
50,36396,Customer 50,user50mail.com,2023-05-30,2018.31,EUR,3291.66,ACTIVE,Processed
51,00061979,Customer 51,user51@example.com,2025-05-31,$3846.85,EUR,5976.65,PENDING ,Processed
52,47916, Customer 52 ,user52@mail.com,27/06/2024,4916.21,USD,4007.34,ACTIVE,Processed
