employee_id,full_name,email,expected_email,last_name,salary,bonus,join_date,exit_date,department,status
201,John Doe,john.doe@company.com,john.doe@company.com,Doe,52000,5200,10-01-2022,10-01-2023,Sales,Active
202,Jane Smith,jane.smith@company.com,jane.smith@company.com,Smith,48000,4800,15-02-2022,15-02-2023,HR,Active
203,Bob Johnson,bob.johnson@company.com,bob.johnson@company.com,Johnson,55000,5500,01-03-2021,01-03-2022,IT,Inactive
204,Alice Brown,alice.brown@company.com,alice.brown@company.com,Brown,60000,6000,05-04-2021,05-04-2022,Finance,Active
205,Charlie Wilson,charlie.wilson@company.com,charlie.wilson@company.com,Wilson,75000,7500,10-05-2020,10-05-2021,Sales,Active
206,David Lee,david.lee@company.com,david.lee@company.com,Lee,47000,4700,12-06-2022,12-06-2023,IT,Active
207,Emma Davis,emma.davis@company.com,emma.davis@company.com,Davis,68000,6800,20-07-2021,20-07-2022,HR,Active
208,Frank Miller,frank.miller@company.com,frank.miller@company.com,Miller,82000,8200,25-08-2020,25-08-2021,Finance,Active
209,Grace Taylor,grace.taylor@company.com,grace.taylor@company.com,Taylor,59000,5900,01-09-2022,01-09-2023,Sales,Active
210,Henry Anderson,henry.anderson@company.com,henry.anderson@company.com,Anderson,91000,9100,10-10-2019,10-10-2020,IT,Inactive
211,Ivy Thomas,ivy.thomas@company.com,ivy.thomas@company.com,Thomas,43000,4300,05-01-2023,05-01-2024,HR,Active
212,Jack White,jack.white@company.com,jack.white@company.com,White,67000,6700,14-02-2021,14-02-2022,Sales,Active
213,Karen Harris,karen.harris@company.com,karen.harris@company.com,Harris,72000,7200,18-03-2020,18-03-2021,Finance,Active
214,Liam Martin,liam.martin@company.com,liam.martin@company.com,Martin,88000,8800,22-04-2019,22-04-2020,IT,Active
215,Mia Thompson,mia.thompson@company.com,mia.thompson@company.com,Thompson,64000,6400,30-05-2021,30-05-2022,HR,Active
216,Noah Garcia,noah.garcia@company.com,noah.garcia@company.com,Garcia,53000,5300,01-06-2022,01-06-2023,Sales,Active
217,Olivia Martinez,olivia.martinez@company.com,olivia.martinez@company.com,Martinez,77000,7700,15-07-2020,15-07-2021,Finance,Active
218,Paul Robinson,paul.robinson@company.com,paul.robinson@company.com,Robinson,86000,8600,19-08-2019,19-08-2020,IT,Active
219,Quinn Clark,quinn.clark@company.com,quinn.clark@company.com,Clark,49000,4900,10-09-2023,10-09-2024,HR,Active
220,Rachel Lewis,rachel.lewis@company.com,rachel.lewis@company.com,Lewis,71000,7100,25-10-2021,25-10-2022,Sales,Active
